2798,2863,2799
2799,2863,2864
2863,2928,2864
2864,2928,2929
2928,2993,2929
2929,2993,2994
2993,3059,2994
2993,3058,3059
3058,3124,3059
3058,3123,3124
3123,3188,3124
3124,3188,3189
3188,3253,3189
3189,3253,3254
3253,3318,3254
3254,3318,3319
3318,3383,3319
3319,3383,3384
3383,3448,3384
3384,3448,3449
3448,3513,3449
3449,3513,3514
3513,3578,3514
3514,3578,3579
3578,3643,3579
3579,3643,3644
3643,3708,3644
3644,3708,3709
3708,3773,3709
3709,3773,3774
3773,3838,3774
3774,3838,3839
3838,3903,3839
3839,3903,3904
3903,3968,3904
3904,3968,3969
3968,4033,3969
3969,4033,4034
4033,4098,4034
4034,4098,4099
4098,4163,4099
4099,4163,4164
4,70,5
4,69,70
69,135,70
69,134,135
134,200,135
134,199,200
199,265,200
199,264,265
264,330,265
264,329,330
329,395,330
329,394,395
394,460,395
394,459,460
459,525,460
459,524,525
524,590,525
524,589,590
589,655,590
589,654,655
654,720,655
654,719,720
719,785,720
719,784,785
784,850,785
784,849,850
849,915,850
849,914,915
914,980,915
914,979,980
979,1045,980
979,1044,1045
1044,1110,1045
1044,1109,1110
1109,1175,1110
1109,1174,1175
1174,1240,1175
1174,1239,1240
1239,1305,1240
1239,1304,1305
1304,1370,1305
1304,1369,1370
1369,1435,1370
1369,1434,1435
1434,1500,1435
1434,1499,1500
1499,1565,1500
1499,1564,1565
1564,1630,1565
1564,1629,1630
1629,1695,1630
1629,1694,1695
1694,1760,1695
1694,1759,1760
1759,1825,1760
1759,1824,1825
1824,1890,1825
1824,1889,1890
1889,1955,1890
1889,1954,1955
1954,2020,1955
1954,2019,2020
2019,2085,2020
2019,2084,2085
2084,2150,2085
2084,2149,2150
2149,2215,2150
2149,2214,2215
2214,2280,2215
2214,2279,2280
2279,2344,2280
2280,2344,2345
2344,2409,2345
2345,2409,2410
2409,2474,2410
2410,2474,2475
2474,2540,2475
2474,2539,2540
2539,2605,2540
2539,2604,2605
2604,2669,2605
2605,2669,2670
2669,2734,2670
2670,2734,2735
2734,2799,2735
2735,2799,2800
2799,2864,2800
2800,2864,2865
2864,2930,2865
2864,2929,2930
2929,2995,2930
2929,2994,2995
2994,3060,2995
2994,3059,3060
3059,3124,3060
3060,3124,3125
3124,3189,3125
3125,3189,3190
3189,3254,3190
3190,3254,3255
3254,3319,3255
3255,3319,3320
3319,3384,3320
3320,3384,3385
3384,3449,3385
3385,3449,3450
3449,3514,3450
3450,3514,3515
3514,3580,3515
3514,3579,3580
3579,3644,3580
3580,3644,3645
3644,3709,3645
3645,3709,3710
3709,3774,3710
3710,3774,3775
3774,3839,3775
3775,3839,3840
3839,3904,3840
3840,3904,3905
3904,3969,3905
3905,3969,3970
3969,4034,3970
3970,4034,4035
4034,4099,4035
4035,4099,4100
4099,4164,4100
4100,4164,4165
5,71,6
5,70,71
70,136,71
70,135,136
135,201,136
135,200,201
200,266,201
200,265,266
265,331,266
265,330,331
330,396,331
330,395,396
395,461,396
395,460,461
460,526,461
460,525,526
525,591,526
525,590,591
590,656,591
590,655,656
655,721,656
655,720,721
720,786,721
720,785,786
785,851,786
785,850,851
850,916,851
850,915,916
915,981,916
915,980,981
980,1046,981
980,1045,1046
1045,1111,1046
1045,1110,1111
1110,1176,1111
1110,1175,1176
1175,1241,1176
1175,1240,1241
1240,1306,1241
1240,1305,1306
1305,1371,1306
1305,1370,1371
1370,1436,1371
1370,1435,1436
1435,1501,1436
1435,1500,1501
1500,1566,1501
1500,1565,1566
1565,1631,1566
1565,1630,1631
1630,1696,1631
1630,1695,1696
1695,1761,1696
1695,1760,1761
1760,1826,1761
1760,1825,1826
1825,1891,1826
1825,1890,1891
1890,1956,1891
1890,1955,1956
1955,2021,1956
1955,2020,2021
2020,2086,2021
2020,2085,2086
2085,2151,2086
2085,2150,2151
2150,2216,2151
2150,2215,2216
2215,2280,2216
2216,2280,2281
2280,2345,2281
2281,2345,2346
2345,2410,2346
2346,2410,2411
2410,2476,2411
2410,2475,2476
2475,2541,2476
2475,2540,2541
2540,2605,2541
2541,2605,2606
2605,2670,2606
2606,2670,2671
2670,2735,2671
2671,2735,2736
2735,2801,2736
2735,2800,2801
2800,2865,2801
2801,2865,2866
2865,2930,2866
2866,2930,2931
2930,2995,2931
2931,2995,2996
2995,3060,2996
2996,3060,3061
3060,3125,3061
3061,3125,3126
3125,3190,3126
3126,3190,3191
3190,3255,3191
3191,3255,3256
3255,3320,3256
3256,3320,3321
3320,3385,3321
3321,3385,3386
3385,3450,3386
3386,3450,3451
3450,3515,3451
3451,3515,3516
3515,3580,3516
3516,3580,3581
3580,3645,3581
3581,3645,3646
3645,3710,3646
3646,3710,3711
3710,3775,3711
3711,3775,3776
3775,3840,3776
3776,3840,3841
3840,3905,3841
3841,3905,3906
3905,3970,3906
3906,3970,3971
3970,4035,3971
3971,4035,4036
4035,4100,4036
4036,4100,4101
4100,4165,4101
4101,4165,4166
6,72,7
6,71,72
71,137,72
71,136,137
136,202,137
136,201,202
201,267,202
201,266,267
266,332,267
266,331,332
331,397,332
331,396,397
396,462,397
396,461,462
461,527,462
461,526,527
526,592,527
526,591,592
591,657,592
591,656,657
656,722,657
656,721,722
721,787,722
721,786,787
786,852,787
786,851,852
851,917,852
851,916,917
916,982,917
916,981,982
981,1047,982
981,1046,1047
1046,1112,1047
1046,1111,1112
1111,1177,1112
1111,1176,1177
1176,1242,1177
1176,1241,1242
1241,1307,1242
1241,1306,1307
1306,1372,1307
1306,1371,1372
1371,1437,1372
1371,1436,1437
1436,1502,1437
1436,1501,1502
1501,1567,1502
1501,1566,1567
1566,1632,1567
1566,1631,1632
1631,1697,1632
1631,1696,1697
1696,1762,1697
1696,1761,1762
1761,1827,1762
1761,1826,1827
1826,1892,1827
1826,1891,1892
1891,1957,1892
1891,1956,1957
1956,2022,1957
1956,2021,2022
2021,2087,2022
2021,2086,2087
2086,2152,2087
2086,2151,2152
2151,2217,2152
2151,2216,2217
2216,2282,2217
2216,2281,2282
2281,2347,2282
2281,2346,2347
2346,2412,2347
2346,2411,2412
2411,2476,2412
2412,2476,2477
2476,2541,2477
2477,2541,2542
2541,2606,2542
2542,2606,2607
2606,2671,2607
2607,2671,2672
2671,2736,2672
2672,2736,2737
2736,2801,2737
2737,2801,2802
2801,2866,2802
2802,2866,2867
2866,2931,2867
2867,2931,2932
2931,2997,2932
2931,2996,2997
2996,3061,2997
2997,3061,3062
3061,3126,3062
3062,3126,3127
3126,3191,3127
3127,3191,3192
3191,3256,3192
3192,3256,3257
3256,3321,3257
3257,3321,3322
3321,3386,3322
3322,3386,3387
3386,3451,3387
3387,3451,3452
3451,3516,3452
3452,3516,3517
3516,3581,3517
3517,3581,3582
3581,3646,3582
3582,3646,3647
3646,3711,3647
3647,3711,3712
3711,3776,3712
3712,3776,3777
3776,3841,3777
3777,3841,3842
3841,3906,3842
3842,3906,3907
3906,3971,3907
3907,3971,3972
3971,4036,3972
3972,4036,4037
4036,4101,4037
4037,4101,4102
4101,4166,4102
4102,4166,4167
7,73,8
7,72,73
72,138,73
72,137,138
137,203,138
137,202,203
202,268,203
202,267,268
267,333,268
267,332,333
332,398,333
332,397,398
397,463,398
397,462,463
462,528,463
462,527,528
527,593,528
527,592,593
592,658,593
592,657,658
657,723,658
657,722,723
722,788,723
722,787,788
787,853,788
787,852,853
852,918,853
852,917,918
917,983,918
917,982,983
982,1048,983
982,1047,1048
1047,1113,1048
1047,1112,1113
1112,1178,1113
1112,1177,1178
1177,1243,1178
1177,1242,1243
1242,1308,1243
1242,1307,1308
1307,1373,1308
1307,1372,1373
1372,1438,1373
1372,1437,1438
1437,1503,1438
1437,1502,1503
1502,1568,1503
1502,1567,1568
1567,1633,1568
1567,1632,1633
1632,1698,1633
1632,1697,1698
1697,1763,1698
1697,1762,1763
1762,1828,1763
1762,1827,1828
1827,1893,1828
1827,1892,1893
1892,1958,1893
1892,1957,1958
1957,2023,1958
1957,2022,2023
2022,2088,2023
2022,2087,2088
2087,2153,2088
2087,2152,2153
2152,2218,2153
2152,2217,2218
2217,2283,2218
2217,2282,2283
2282,2348,2283
2282,2347,2348
2347,2413,2348
2347,2412,2413
2412,2477,2413
2413,2477,2478
2477,2542,2478
2478,2542,2543
2542,2607,2543
2543,2607,2608
2607,2672,2608
2608,2672,2673
2672,2737,2673
2673,2737,2738
2737,2802,2738
2738,2802,2803
2802,2868,2803
2802,2867,2868
2867,2933,2868
2867,2932,2933
2932,2997,2933
2933,2997,2998
2997,3062,2998
2998,3062,3063
3062,3127,3063
3063,3127,3128
3127,3192,3128
3128,3192,3193
3192,3257,3193
3193,3257,3258
3257,3322,3258
3258,3322,3323
3322,3387,3323
3323,3387,3388
3387,3452,3388
3388,3452,3453
3452,3517,3453
3453,3517,3518
3517,3582,3518
3518,3582,3583
3582,3647,3583
3583,3647,3648
3647,3713,3648
3647,3712,3713
3712,3777,3713
3713,3777,3778
3777,3842,3778
3778,3842,3843
3842,3907,3843
3843,3907,3908
3907,3972,3908
3908,3972,3973
3972,4037,3973
3973,4037,4038
4037,4102,4038
4038,4102,4103
4102,4167,4103
4103,4167,4168
8,74,9
8,73,74
73,139,74
73,138,139
138,204,139
138,203,204
203,269,204
203,268,269
268,334,269
268,333,334
333,399,334
333,398,399
398,464,399
398,463,464
463,529,464
463,528,529
528,594,529
528,593,594
593,659,594
593,658,659
658,724,659
658,723,724
723,789,724
723,788,789
788,854,789
788,853,854
853,919,854
853,918,919
918,984,919
918,983,984
983,1049,984
983,1048,1049
1048,1114,1049
1048,1113,1114
1113,1179,1114
1113,1178,1179
1178,1244,1179
1178,1243,1244
1243,1309,1244
1243,1308,1309
1308,1374,1309
1308,1373,1374
1373,1439,1374
1373,1438,1439
1438,1504,1439
1438,1503,1504
1503,1569,1504
1503,1568,1569
1568,1634,1569
1568,1633,1634
1633,1699,1634
1633,1698,1699
1698,1764,1699
1698,1763,1764
1763,1829,1764
1763,1828,1829
1828,1894,1829
1828,1893,1894
1893,1959,1894
1893,1958,1959
1958,2024,1959
1958,2023,2024
2023,2089,2024
2023,2088,2089
2088,2154,2089
2088,2153,2154
2153,2219,2154
2153,2218,2219
2218,2284,2219
2218,2283,2284
2283,2349,2284
2283,2348,2349
2348,2413,2349
2349,2413,2414
2413,2478,2414
2414,2478,2479
2478,2543,2479
2479,2543,2544
2543,2609,2544
2543,2608,2609
2608,2673,2609
2609,2673,2674
2673,2738,2674
2674,2738,2739
2738,2804,2739
2738,2803,2804
2803,2868,2804
2804,2868,2869
2868,2933,2869
2869,2933,2934
2933,2998,2934
2934,2998,2999
2998,3063,2999
2999,3063,3064
3063,3128,3064
3064,3128,3129
3128,3193,3129
3129,3193,3194
3193,3258,3194
3194,3258,3259
3258,3323,3259
3259,3323,3324
3323,3388,3324
3324,3388,3389
3388,3453,3389
3389,3453,3454
3453,3518,3454
3454,3518,3519
3518,3584,3519
3518,3583,3584
3583,3648,3584
3584,3648,3649
3648,3713,3649
3649,3713,3714
3713,3778,3714
3714,3778,3779
3778,3843,3779
3779,3843,3844
3843,3908,3844
3844,3908,3909
3908,3973,3909
3909,3973,3974
3973,4038,3974
3974,4038,4039
4038,4103,4039
4039,4103,4104
4103,4168,4104
4104,4168,4169
9,75,10
9,74,75
74,140,75
74,139,140
139,205,140
139,204,205
204,270,205
204,269,270
269,335,270
269,334,335
334,400,335
334,399,400
399,465,400
399,464,465
464,530,465
464,529,530
529,595,530
529,594,595
594,660,595
594,659,660
659,725,660
659,724,725
724,790,725
724,789,790
789,855,790
789,854,855
854,920,855
854,919,920
919,985,920
919,984,985
984,1050,985
984,1049,1050
1049,1115,1050
1049,1114,1115
1114,1180,1115
1114,1179,1180
1179,1245,1180
1179,1244,1245
1244,1310,1245
1244,1309,1310
1309,1375,1310
1309,1374,1375
1374,1440,1375
1374,1439,1440
1439,1505,1440
1439,1504,1505
1504,1570,1505
1504,1569,1570
1569,1635,1570
1569,1634,1635
1634,1700,1635
1634,1699,1700
1699,1765,1700
1699,1764,1765
1764,1830,1765
1764,1829,1830
1829,1895,1830
1829,1894,1895
1894,1960,1895
1894,1959,1960
1959,2025,1960
1959,2024,2025
2024,2090,2025
2024,2089,2090
2089,2155,2090
2089,2154,2155
2154,2220,2155
2154,2219,2220
